Date,Open,High,Low,Close,Volume
2013-02-20,35.1053,35.5983,34.8092,34.9085,3033128.8940564
2013-02-21,34.282,35.0728,34.282,35.006,2360268.7566497
2013-02-22,34.9745,35.5983,34.9085,35.4006,1657379.3753107
2013-02-25,35.303,36.883,35.303,36.2248,2025787.5673277
2013-02-26,35.731,35.8628,34.8751,34.9085,1776502.8493175
2013-02-27,35.238,35.3681,34.7425,35.3355,1148717.8736826
2013-02-28,35.731,35.731,35.006,35.3355,1223787.0004023
2013-03-01,35.5983,36.2248,35.4349,36.1589,903178.41817974
2013-03-04,35.6984,36.3566,35.6984,35.7644,1095503.5087955
2013-03-05,36.093,36.8514,35.9955,36.8514,2247756.1091106
2013-03-06,36.883,37.477,36.817,37.2459,1559463.1230676
2013-03-07,37.2459,37.3768,36.6853,36.883,715675.16811206
2013-03-08,37.1484,37.8056,36.9832,37.4111,1094488.3844696
2013-03-11,37.1799,37.477,36.2248,36.2248,987236.85773612
2013-03-12,36.5543,36.7854,36.3566,36.4885,588905.25874007
2013-03-13,36.3891,36.456,35.2705,35.8953,1983671.2881202
2013-03-14,36.028,36.9497,35.8311,36.2908,1256036.5442896
2013-03-15,36.7512,37.2125,36.0596,36.0596,4705357.3077129
2013-03-18,35.303,36.1589,35.303,35.8953,1262927.3265691
2013-03-19,35.8311,36.093,35.3355,35.8953,870785.48229123
2013-03-20,35.731,36.1264,35.4349,35.8953,1083729.4322531
2013-03-21,35.6326,35.8311,34.2486,34.9745,1288113.1073501
2013-03-22,34.9745,35.1397,34.3479,34.3479,763077.60482384
2013-03-25,34.8751,35.2047,33.3268,33.4261,945494.9909762
2013-03-26,33.5245,33.9217,32.9648,33.5913,2585258.7727435
2013-03-27,33.4929,35.3681,33.3603,35.3681,660987.05210158
2013-03-28,34.2486,34.7758,33.8215,33.854,1330289.7022406
2013-04-02,34.05,34.1177,33.3936,33.7882,953218.81250076
2013-04-03,33.7222,33.7882,32.4121,32.7671,1997056.8176284
2013-04-04,32.8269,33.1941,32.4385,32.8075,1680878.59303
2013-04-05,32.9314,33.1941,32.7337,32.9314,1945777.1067256
2013-04-08,33.4929,33.4929,32.8005,32.9314,1365632.4164394
2013-04-09,33.0641,33.623,32.9648,32.9982,2575411.3839632
2013-04-10,33.1941,33.854,33.1941,33.688,2470135.4803573
2013-04-11,33.7222,34.2152,33.688,33.9217,2714175.0100064
2013-04-12,33.8215,33.9859,33.7222,33.8857,1507488.0747622
2013-04-15,33.7882,33.7882,32.6027,33.0641,1375329.585028
2013-04-17,33.4578,33.4578,32.4305,32.9314,2742306.0169706
2013-04-18,32.9314,33.0641,31.9042,31.9042,2584294.8598466
2013-04-19,32.0097,32.2082,31.1011,31.2856,2213997.5351155
2013-04-22,31.3841,31.7399,30.8304,31.2856,1596039.4636893
2013-04-23,31.2856,31.4156,31.0879,31.3576,2162317.2370348
2013-04-24,31.6213,32.8664,31.6134,32.7337,1847175.7593657
2013-04-25,32.8664,32.8989,31.9438,32.4305,1474147.1584214
2013-04-26,32.8989,32.8989,32.0035,32.0747,1035211.7244209
2013-04-29,32.3374,32.8339,31.8849,32.3374,621921.83603059
2013-04-30,32.8805,32.8805,31.942,32.2759,1171747.0842868
2013-05-02,32.4305,32.4305,30.957,30.957,1448135.166586
2013-05-06,31.536,31.5738,31.0211,31.1142,1217830.542194
2013-05-07,31.1863,31.9042,31.1863,31.7197,2456820.508818
2013-05-08,31.7197,32.2135,31.5483,32.2135,1118162.8590792
2013-05-09,32.2407,32.3919,31.6134,32.0747,791015.14638957
2013-05-10,32.0747,32.0747,31.6134,31.826,519204.22781106
2013-05-13,31.826,32.1415,31.3576,32.1415,1095530.8215576
2013-05-14,32.1415,32.8796,31.9569,32.6027,1263917.4141964
2013-05-15,32.8005,33.7222,32.4841,33.7222,2606274.8051723
2013-05-16,33.7222,34.0175,33.2609,33.7222,1083877.3763813
2013-05-17,33.4578,34.3681,33.4578,33.9921,596095.34337131
2013-05-20,34.2486,34.4806,33.9921,34.05,622130.09584185
2013-05-21,33.854,34.0263,33.3268,33.4578,1141607.4512742
2013-05-22,33.3936,34.2152,33.202,33.854,1512597.8373444
2013-05-23,33.1634,33.7618,32.9314,33.4929,2854119.9130118
2013-05-24,33.3936,34.2152,33.2873,33.9217,683106.97533321
2013-05-27,34.1177,35.8901,34.1177,35.8901,1096568.7065186
2013-05-28,35.5983,36.006,35.3681,35.4867,1775576.4914685
2013-05-29,35.4331,36.0174,34.9358,34.9358,1004060.3811777
2013-05-31,34.9832,35.7653,34.4806,34.9094,2955363.770108
2013-06-03,34.3883,34.9006,34.2697,34.6106,1951716.4944575
2013-06-04,34.6106,35.1397,34.5201,35.0728,2242728.2848148
2013-06-05,35.0395,35.5403,34.6449,35.4349,1399812.062184
2013-06-06,35.303,35.427,34.7381,34.7381,842196.98656136
2013-06-07,34.7425,35.7978,34.7425,35.5597,1287216.3383267
2013-06-10,35.303,35.7503,35.303,35.6984,1059839.8696417
2013-06-11,35.5719,35.8311,34.8418,35.3303,1182580.0085674
2013-06-12,35.1432,35.5667,35.1432,35.2626,322042.50223446
2013-06-13,34.8822,35.0667,34.6106,34.6106,1911639.5681559
2013-06-14,34.6449,34.8619,34.6106,34.7108,790232.18054179
2013-06-17,34.8286,35.1053,34.6449,34.8418,836874.41204089
2013-06-18,34.9745,34.9745,33.7882,33.9217,810716.75214076
2013-06-19,33.7222,33.8409,32.9788,32.9788,2258490.0246285
2013-06-20,32.6027,33.0368,31.2856,31.2856,2420727.8316923
2013-06-21,31.3515,31.9438,29.638,29.9676,4391195.6753852
2013-06-24,30.1723,30.6801,29.9086,30.1653,883285.62309363
2013-06-25,30.4948,30.8374,30.0993,30.4948,1676617.8021374
2013-06-26,30.0466,31.3515,29.8374,30.4298,2507132.8927286
2013-06-27,30.4298,30.6265,27.8604,29.3102,4474810.282557
2013-06-28,29.508,30.6933,28.479,30.6933,3713859.6590842
2013-07-01,30.8243,31.5273,30.4298,31.4104,1266366.4585342
2013-07-02,31.4719,32.507,30.8594,31.7505,1355643.9117213
2013-07-03,31.3841,31.6143,31.0229,31.4526,1277162.9657987
2013-07-04,31.6143,31.7039,31.1187,31.5474,1143810.6807529
2013-07-05,31.5474,31.7917,30.1653,30.1995,1459629.2873165
2013-07-08,30.2971,30.3638,29.638,29.638,1190538.2646336
2013-07-09,29.6415,30.275,28.783,30.275,1620943.0125949
2013-07-10,30.2971,30.9429,30.2839,30.9429,2879906.5745596
2013-07-11,31.2856,31.6134,31.2856,31.5158,733442.1198789
